Id,Ranking,Name,State,Description
1,1,Sydney Opera House,New South Wales,Iconic performing arts venue and UNESCO World Heritage Site on Sydney Harbour
2,2,Great Barrier Reef,Queensland,World's largest coral reef system stretching over 2300 kilometres
3,3,Uluru,Northern Territory,Sacred sandstone monolith rising 348 metres in the Red Centre desert
4,4,Daintree Rainforest,Queensland,World's oldest tropical rainforest dating back over 135 million years
5,5,Bondi Beach,New South Wales,Famous surf beach and cultural icon just minutes from Sydney CBD
6,6,The Twelve Apostles,Victoria,Dramatic limestone stacks rising from the Southern Ocean along the Great Ocean Road
7,7,Kakadu National Park,Northern Territory,Australia's largest national park with ancient Aboriginal rock art
8,8,Blue Mountains,New South Wales,Stunning sandstone escarpments and eucalyptus forests west of Sydney
9,9,Whitsunday Islands,Queensland,74 pristine islands with white silica sand beaches and turquoise waters
10,10,Melbourne CBD Laneways,Victoria,World-renowned network of street art alleyways and hidden cafes
11,11,Cradle Mountain,Tasmania,Rugged alpine wilderness with glacial lakes and dramatic dolerite peaks
12,12,Kangaroo Island,South Australia,Wildlife sanctuary home to sea lions koalas and diverse birdlife
13,13,Fraser Island,Queensland,World's largest sand island with freshwater lakes and ancient rainforest
14,14,Ningaloo Reef,Western Australia,Pristine fringing coral reef accessible directly from the shore
15,15,Port Arthur,Tasmania,Haunting convict heritage site and former penal colony on the Tasman Peninsula
16,16,Barossa Valley,South Australia,Australia's most iconic wine region producing world-class Shiraz
17,17,The Pinnacles,Western Australia,Thousands of ancient limestone pillars rising from the yellow desert sand
18,18,Coober Pedy,South Australia,Underground opal mining town where residents live in dugout homes
19,19,Lord Howe Island,New South Wales,Remote UNESCO heritage island with crystal lagoon and rare birdlife
20,20,Phillip Island,Victoria,Famous for the nightly penguin parade and spectacular coastal scenery
